,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
178,NGTSP,4,15,BreastCancer,0.8188407815246798,0.692307710647583,0.0656863308093841
179,RNGTSP,4,15,BreastCancer,0.8165051903807626,0.8205128312110901,0.06969628514627448
180,RBFNetwork,0,5,Diabetes,0.41933456858526796,0.12359550595283508,0.127148961043006
181,RLVQ,0,5,Diabetes,0.3066885295155321,0.16853933036327362,1.4552597861814034
182,RegNG,0,5,Diabetes,0.4463472299540046,0.12359550595283508,0.11269315159696346
183,RegSeNG,0,5,Diabetes,0.41015562154780505,0.11235955357551575,0.12830873850465851
184,NGTSP,0,5,Diabetes,0.2898772101522092,0.17977528274059296,0.14327905612546044
185,RNGTSP,0,5,Diabetes,0.4333504947194904,0.14606741070747375,0.11715620865467807
186,RBFNetwork,1,5,Diabetes,0.4969650629582039,0.16853933036327362,0.10185528299221888
187,RLVQ,1,5,Diabetes,0.443195922734723,0.08988764137029648,1.7752677964011647
188,RegNG,1,5,Diabetes,0.49948065945407555,0.2584269642829895,0.0970229062782864
189,RegSeNG,1,5,Diabetes,0.48490422824992574,0.20224718749523163,0.10229196664742915
190,NGTSP,1,5,Diabetes,0.38781048446962507,0.16853933036327362,0.13978203563004388
191,RNGTSP,1,5,Diabetes,0.49066925719784743,0.1910112351179123,0.10045667766783568
192,RBFNetwork,2,5,Diabetes,0.5562647024582895,0.27272728085517883,0.09334257090945092
193,RLVQ,2,5,Diabetes,0.4547294242716146,0.11363636702299118,1.8242165173214262
194,RegNG,2,5,Diabetes,0.5727661548913471,0.23863635957241058,0.11026979499809828
195,RegSeNG,2,5,Diabetes,0.5670253176484138,0.1931818127632141,0.10560577812421905
196,NGTSP,2,5,Diabetes,0.4925752601575529,0.1931818127632141,0.11803308700185541
197,RNGTSP,2,5,Diabetes,0.5322514886051437,0.14772726595401764,0.10123942494726507
198,RBFNetwork,3,5,Diabetes,0.521706824987187,0.25,0.09846474812974097
199,RLVQ,3,5,Diabetes,0.41472475765107614,0.11363636702299118,2.5531075125388587
200,RegNG,3,5,Diabetes,0.4957401922844879,0.23863635957241058,0.09689541942156256
201,RegSeNG,3,5,Diabetes,0.500686604808406,0.15909090638160706,0.10278567395162486
202,NGTSP,3,5,Diabetes,0.4714626993531852,0.125,0.12796632084205029
203,RNGTSP,3,5,Diabetes,0.5151503969403961,0.20454545319080353,0.09820711881182541
204,RBFNetwork,4,5,Diabetes,0.5485706604755027,0.20454545319080353,0.08732053155409313
205,RLVQ,4,5,Diabetes,0.49986684680007004,0.14772726595401764,2.2473931877365847
206,RegNG,4,5,Diabetes,0.5488214605510483,0.1818181872367859,0.09706431301835386
207,RegSeNG,4,5,Diabetes,0.5403698701816175,0.1818181872367859,0.09881692908770412
208,NGTSP,4,5,Diabetes,0.4118951275808518,0.1818181872367859,0.1364886165813829
209,RNGTSP,4,5,Diabetes,0.5682738398551401,0.25,0.08728979658701715
210,RBFNetwork,0,10,Diabetes,0.4155227478112668,0.15730337798595428,0.1203044556997648
211,RLVQ,0,10,Diabetes,0.30680119987609683,0.17977528274059296,1.5822876433121613
212,RegNG,0,10,Diabetes,0.4329451211330044,0.16853933036327362,0.12365069516444116
213,RegSeNG,0,10,Diabetes,0.41572265783883744,0.12359550595283508,0.11262939671677254
214,NGTSP,0,10,Diabetes,0.3735354109519429,0.17977528274059296,0.13381938416293984
215,RNGTSP,0,10,Diabetes,0.373536115106103,0.11235955357551575,0.1314088401249223
216,RBFNetwork,1,10,Diabetes,0.4919772512794557,0.16853933036327362,0.09945354847751238
217,RLVQ,1,10,Diabetes,0.43364692792347026,0.11235955357551575,2.1455944751636387
218,RegNG,1,10,Diabetes,0.4824770341613771,0.16853933036327362,0.10031910121161632
219,RegSeNG,1,10,Diabetes,0.48693269951555657,0.16853933036327362,0.10965255234989713
220,NGTSP,1,10,Diabetes,0.4693457867608247,0.21348313987255096,0.10897371442354452
221,RNGTSP,1,10,Diabetes,0.4609581523648142,0.20224718749523163,0.09930870317711311
